,MJD-OBS,TELRA,TELDEC,AMSTART,fn,On Slit,Binary Component,Nod Position
0,59285.129027,10:49:12.418,-53:19:02.93,1.114,SDCS_20210311_0002.fits,N,-,-
1,59285.129251,10:49:12.418,-53:19:02.93,1.113,SDCS_20210311_0003.fits,N,-,-
2,59285.12987,10:49:12.417,-53:19:02.93,1.113,SDCS_20210311_0004.fits,N,-,-
3,59285.130156,10:49:12.417,-53:19:02.93,1.112,SDCS_20210311_0005.fits,N,-,-
4,59285.130558,10:49:12.417,-53:19:02.93,1.112,SDCS_20210311_0006.fits,N,-,-
5,59285.131408,10:49:12.416,-53:19:02.94,1.111,SDCS_20210311_0007.fits,N,-,-
6,59285.131868,10:49:12.416,-53:19:02.94,1.11,SDCS_20210311_0008.fits,N,-,-
7,59285.132503,10:49:12.416,-53:19:02.94,1.11,SDCS_20210311_0009.fits,N,-,-
8,59285.133238,10:49:12.415,-53:19:02.94,1.109,SDCS_20210311_0010.fits,N,-,-
9,59285.133493,10:49:12.415,-53:19:02.94,1.109,SDCS_20210311_0011.fits,N,-,-
10,59285.136836,10:49:12.413,-53:19:02.94,1.105,SDCS_20210311_0012.fits,N,-,-
11,59285.137129,10:49:12.134,-53:19:06.84,1.105,SDCS_20210311_0013.fits,Y,A,A
12,59285.137346,10:49:12.134,-53:19:06.84,1.105,SDCS_20210311_0014.fits,Y,A,A
13,59285.137616,10:49:12.134,-53:19:06.84,1.105,SDCS_20210311_0015.fits,Y,A,A
14,59285.138303,10:49:12.133,-53:19:06.84,1.104,SDCS_20210311_0016.fits,Y,A,A
15,59285.138985,10:49:12.133,-53:19:06.84,1.103,SDCS_20210311_0017.fits,Y,A,A
16,59285.139672,10:49:12.132,-53:19:06.84,1.103,SDCS_20210311_0018.fits,Y,A,A
17,59285.14008,10:49:12.311,-53:19:05.14,1.102,SDCS_20210311_0019.fits,Y,A,B
18,59285.140767,10:49:12.310,-53:19:05.14,1.102,SDCS_20210311_0020.fits,Y,A,B
19,59285.141452,10:49:12.310,-53:19:05.14,1.101,SDCS_20210311_0021.fits,Y,A,B
20,59285.142141,10:49:12.309,-53:19:05.14,1.101,SDCS_20210311_0022.fits,Y,A,B
21,59285.142279,10:49:12.309,-53:19:05.14,1.101,SDCS_20210311_0023.fits,Y,A,B
22,59285.142959,10:49:12.309,-53:19:05.14,1.1,SDCS_20210311_0024.fits,Y,A,B
23,59285.143646,10:49:12.309,-53:19:05.14,1.1,SDCS_20210311_0025.fits,Y,A,B
24,59285.144333,10:49:12.130,-53:19:06.84,1.099,SDCS_20210311_0026.fits,Y,A,A
25,59285.145017,10:49:12.129,-53:19:06.84,1.098,SDCS_20210311_0027.fits,Y,A,A
26,59285.145701,10:49:12.129,-53:19:06.85,1.098,SDCS_20210311_0028.fits,Y,A,A
27,59285.146389,10:49:12.128,-53:19:06.85,1.097,SDCS_20210311_0029.fits,Y,A,A
28,59285.147452,10:49:12.128,-53:19:06.85,1.097,SDCS_20210311_0030.fits,Y,A,A
29,59285.147835,10:49:12.406,-53:19:02.95,1.096,SDCS_20210311_0031.fits,N,-,-
30,59285.148101,10:49:12.239,-53:19:07.65,1.096,SDCS_20210311_0032.fits,Y,B,A
31,59285.148309,10:49:12.239,-53:19:07.65,1.096,SDCS_20210311_0033.fits,Y,B,A
32,59285.148719,10:49:12.222,-53:19:07.51,1.096,SDCS_20210311_0034.fits,Y,B,A
33,59285.148995,10:49:12.232,-53:19:07.59,1.096,SDCS_20210311_0035.fits,Y,B,A
34,59285.149264,10:49:12.232,-53:19:07.59,1.096,SDCS_20210311_0036.fits,Y,B,A
35,59285.14995,10:49:12.231,-53:19:07.59,1.095,SDCS_20210311_0037.fits,Y,B,A
36,59285.150634,10:49:12.231,-53:19:07.59,1.095,SDCS_20210311_0038.fits,Y,B,A
37,59285.15133,10:49:12.409,-53:19:05.89,1.094,SDCS_20210311_0039.fits,Y,B,B
38,59285.15147,10:49:12.409,-53:19:05.89,1.094,SDCS_20210311_0040.fits,Y,B,B
39,59285.152151,10:49:12.409,-53:19:05.89,1.094,SDCS_20210311_0041.fits,Y,B,B
40,59285.152834,10:49:12.408,-53:19:05.89,1.093,SDCS_20210311_0042.fits,Y,B,B
41,59285.153513,10:49:12.408,-53:19:05.89,1.093,SDCS_20210311_0043.fits,Y,B,B
42,59285.15366,10:49:12.408,-53:19:05.89,1.093,SDCS_20210311_0044.fits,Y,B,B
